,Frequency,GasLimit,detailedLatency
0,1,0,0.0
1,1,2,47124.0
2,1,4,49152.2
3,1,6,49767.38461538462
4,1,8,49310.11111111111
5,1,10,49231.5
6,1,12,49685.13636363636
7,1,14,48502.09090909091
8,1,16,49910.0
9,1,18,49155.333333333336
10,1,20,54138.0
11,2,0,0.0
12,2,2,50547.6
13,2,4,48722.0
14,2,6,47776.31578947369
15,2,8,49068.07142857143
16,2,10,48245.770833333336
17,2,12,48580.93877551021
18,2,14,48279.354838709674
19,2,16,48153.642857142855
20,2,18,46894.71428571428
21,2,20,49329.9
22,4,0,33068.0
23,4,2,32259.625
24,4,4,34557.6
25,4,6,33360.91836734694
26,4,8,33354.49382716049
27,4,10,33856.0618556701
28,4,12,33275.454545454544
29,4,14,33325.47297297297
30,4,16,33346.62162162162
31,4,18,32106.7
32,4,20,32699.875
33,8,0,42668.75
34,8,2,44486.1
35,8,4,43680.20754716981
36,8,6,44046.948453608245
37,8,8,43422.47826086957
38,8,10,43945.69743589743
39,8,12,43798.77528089887
40,8,14,44569.311475409835
41,8,16,44716.01075268817
42,8,18,44325.02127659575
43,8,20,43835.17391304348
